Scenario,Method,DDREScenarioId,Node,TimeSlot,VoltageSquared,VoltagePU
S4_DDRE_078,centralized-multi-energy-pq,78,21,20,1.08850186267807,1.04331292653646
S4_DDRE_078,centralized-multi-energy-pq,78,22,20,1.0873263563627,1.04274942165541
S4_DDRE_078,centralized-multi-energy-pq,78,23,20,1.06678964528091,1.03285509403832
S4_DDRE_078,centralized-multi-energy-pq,78,24,20,1.05474410871764,1.02700735572713
S4_DDRE_078,centralized-multi-energy-pq,78,25,20,1.04874965666131,1.02408478978125
S4_DDRE_078,centralized-multi-energy-pq,78,26,20,1.01358576357269,1.00676996556944
S4_DDRE_078,centralized-multi-energy-pq,78,27,20,1.01032418631326,1.00514883789081
S4_DDRE_078,centralized-multi-energy-pq,78,28,20,0.996221391864579,0.998108907817468
S4_DDRE_078,centralized-multi-energy-pq,78,29,20,0.986295246277756,0.993123983336298
S4_DDRE_078,centralized-multi-energy-pq,78,30,20,0.982228676140522,0.991074505847326
S4_DDRE_078,centralized-multi-energy-pq,78,31,20,0.975132467609716,0.98748795820998
S4_DDRE_078,centralized-multi-energy-pq,78,32,20,0.973571582109989,0.986697310278076
S4_DDRE_078,centralized-multi-energy-pq,78,33,20,0.973088024537907,0.986452241387239
S4_DDRE_078,centralized-multi-energy-pq,78,1,21,1.1025,1.05
S4_DDRE_078,centralized-multi-energy-pq,78,2,21,1.09777998166167,1.04774996142289
S4_DDRE_078,centralized-multi-energy-pq,78,3,21,1.07557451202064,1.03709908495796
S4_DDRE_078,centralized-multi-energy-pq,78,4,21,1.06407618695923,1.03154068604163
S4_DDRE_078,centralized-multi-energy-pq,78,5,21,1.05276067641316,1.02604126447875
S4_DDRE_078,centralized-multi-energy-pq,78,6,21,1.02307955516574,1.01147395179794
S4_DDRE_078,centralized-multi-energy-pq,78,7,21,1.0128602019531,1.00640955974846
S4_DDRE_078,centralized-multi-energy-pq,78,8,21,1.0044009425214,1.00219805553663
S4_DDRE_078,centralized-multi-energy-pq,78,9,21,0.990187429130565,0.99508161933108
S4_DDRE_078,centralized-multi-energy-pq,78,10,21,0.976726087621489,0.988294534853598
S4_DDRE_078,centralized-multi-energy-pq,78,11,21,0.975148688826699,0.987496171550401
S4_DDRE_078,centralized-multi-energy-pq,78,12,21,0.972365248681742,0.986085822168508
S4_DDRE_078,centralized-multi-energy-pq,78,13,21,0.9569031222266,0.978214251698778
S4_DDRE_078,centralized-multi-energy-pq,78,14,21,0.94938410298183,0.974363434752059
S4_DDRE_078,centralized-multi-energy-pq,78,15,21,0.944432822654251,0.97181933642743
S4_DDRE_078,centralized-multi-energy-pq,78,16,21,0.939582964724052,0.969320878101804
S4_DDRE_078,centralized-multi-energy-pq,78,17,21,0.926842365702121,0.962726526954628
S4_DDRE_078,centralized-multi-energy-pq,78,18,21,0.922993048666446,0.960725272211805
S4_DDRE_078,centralized-multi-energy-pq,78,19,21,1.09687767588337,1.04731928077515
S4_DDRE_078,centralized-multi-energy-pq,78,20,21,1.09077378333828,1.04440116015747
S4_DDRE_078,centralized-multi-energy-pq,78,21,21,1.08957204682942,1.04382567837231
S4_DDRE_078,centralized-multi-energy-pq,78,22,21,1.08848501948402,1.04330485452912
S4_DDRE_078,centralized-multi-energy-pq,78,23,21,1.06958255990815,1.03420624631074
S4_DDRE_078,centralized-multi-energy-pq,78,24,21,1.05844367663459,1.02880691902543
S4_DDRE_078,centralized-multi-energy-pq,78,25,21,1.05290041989432,1.0261093605919
S4_DDRE_078,centralized-multi-energy-pq,78,26,21,1.020781076605,1.01033711037703
S4_DDRE_078,centralized-multi-energy-pq,78,27,21,1.0177854452432,1.00885353012377
S4_DDRE_078,centralized-multi-energy-pq,78,28,21,1.00487611378272,1.0024350920547
S4_DDRE_078,centralized-multi-energy-pq,78,29,21,0.995796115114433,0.997895843820603
S4_DDRE_078,centralized-multi-energy-pq,78,30,21,0.992072165392676,0.996028195079174
S4_DDRE_078,centralized-multi-energy-pq,78,31,21,0.985510080084619,0.992728603438331
S4_DDRE_078,centralized-multi-energy-pq,78,32,21,0.984066680590248,0.992001351103036
S4_DDRE_078,centralized-multi-energy-pq,78,33,21,0.983619519824667,0.99177594235022
S4_DDRE_078,centralized-multi-energy-pq,78,1,22,1.1025,1.05
S4_DDRE_078,centralized-multi-energy-pq,78,2,22,1.09822456830031,1.04796210251149
S4_DDRE_078,centralized-multi-energy-pq,78,3,22,1.07811418880613,1.03832277679252
S4_DDRE_078,centralized-multi-energy-pq,78,4,22,1.06770734828922,1.03329925398658
S4_DDRE_078,centralized-multi-energy-pq,78,5,22,1.05746721983649,1.02833225167574
S4_DDRE_078,centralized-multi-energy-pq,78,6,22,1.03063009534734,1.01519953474543
S4_DDRE_078,centralized-multi-energy-pq,78,7,22,1.02137817224244,1.01063256045035
S4_DDRE_078,centralized-multi-energy-pq,78,8,22,1.01371220060164,1.0068327570166
S4_DDRE_078,centralized-multi-energy-pq,78,9,22,1.00084095607907,1.0004203896758
S4_DDRE_078,centralized-multi-energy-pq,78,10,22,0.988651913959635,0.994309767607477
S4_DDRE_078,centralized-multi-energy-pq,78,11,22,0.987231666239604,0.9935953231772
S4_DDRE_078,centralized-multi-energy-pq,78,12,22,0.984726989810528,0.992334111985741
S4_DDRE_078,centralized-multi-energy-pq,78,13,22,0.970888290500606,0.985336638160079
S4_DDRE_078,centralized-multi-energy-pq,78,14,22,0.964182957799042,0.981928183625993
S4_DDRE_078,centralized-multi-energy-pq,78,15,22,0.959776553670479,0.97968186349982
S4_DDRE_078,centralized-multi-energy-pq,78,16,22,0.95546518205809,0.977478993154375
S4_DDRE_078,centralized-multi-energy-pq,78,17,22,0.944185546900638,0.971692104990381
S4_DDRE_078,centralized-multi-energy-pq,78,18,22,0.940786289890249,0.969941384770363
S4_DDRE_078,centralized-multi-energy-pq,78,19,22,1.09740619794325,1.04757157175214
S4_DDRE_078,centralized-multi-energy-pq,78,20,22,1.09187010935584,1.04492588701584
S4_DDRE_078,centralized-multi-energy-pq,78,21,22,1.09078016228966,1.04440421403289
S4_DDRE_078,centralized-multi-energy-pq,78,22,22,1.08979425376709,1.04393211166583
S4_DDRE_078,centralized-multi-energy-pq,78,23,22,1.07267962758783,1.03570248024605
S4_DDRE_078,centralized-multi-energy-pq,78,24,22,1.0625769195025,1.03081371716838
S4_DDRE_078,centralized-multi-energy-pq,78,25,22,1.05754931455203,1.02837216733633
S4_DDRE_078,centralized-multi-energy-pq,78,26,22,1.02855475612148,1.01417688601224
S4_DDRE_078,centralized-multi-energy-pq,78,27,22,1.02585084105579,1.0128429498475
S4_DDRE_078,centralized-multi-energy-pq,78,28,22,1.01422660366808,1.00708818068135
S4_DDRE_078,centralized-multi-energy-pq,78,29,22,1.00605445487824,1.00302265920478
S4_DDRE_078,centralized-multi-energy-pq,78,30,22,1.00270023752343,1.00134920857982
S4_DDRE_078,centralized-multi-energy-pq,78,31,22,0.996748578755661,0.998372965757618
S4_DDRE_078,centralized-multi-energy-pq,78,32,22,0.995439448981697,0.997717118717373
S4_DDRE_078,centralized-multi-energy-pq,78,33,22,0.995033884566402,0.997513851816807
S4_DDRE_078,centralized-multi-energy-pq,78,1,23,1.1025,1.05
S4_DDRE_078,centralized-multi-energy-pq,78,2,23,1.09876140608376,1.04821820537699
S4_DDRE_078,centralized-multi-energy-pq,78,3,23,1.08120395618228,1.03980957688525
S4_DDRE_078,centralized-multi-energy-pq,78,4,23,1.0721704984314,1.03545666178329
S4_DDRE_078,centralized-multi-energy-pq,78,5,23,1.06329164640577,1.03116033981421
S4_DDRE_078,centralized-multi-energy-pq,78,6,23,1.04020574627005,1.01990477313818
S4_DDRE_078,centralized-multi-energy-pq,78,7,23,1.03251174730775,1.01612585210089
S4_DDRE_078,centralized-multi-energy-pq,78,8,23,1.02591662581462,1.01287542462764
S4_DDRE_078,centralized-multi-energy-pq,78,9,23,1.01511696944465,1.0075301332688
S4_DDRE_078,centralized-multi-energy-pq,78,10,23,1.00492079981368,1.00245738054726
S4_DDRE_078,centralized-multi-energy-pq,78,11,23,1.00367437918115,1.00183550505118
S4_DDRE_078,centralized-multi-energy-pq,78,12,23,1.00147765927854,1.00073855690612
S4_DDRE_078,centralized-multi-energy-pq,78,13,23,0.989412578818693,0.994692203055143
S4_DDRE_078,centralized-multi-energy-pq,78,14,23,0.983590092861048,0.991761106749528
S4_DDRE_078,centralized-multi-energy-pq,78,15,23,0.97977265757905,0.98983466173854
S4_DDRE_078,centralized-multi-energy-pq,78,16,23,0.976042198660004,0.987948479759954
S4_DDRE_078,centralized-multi-energy-pq,78,17,23,0.966327567949005,0.983019617275772
S4_DDRE_078,centralized-multi-energy-pq,78,18,23,0.963408419930927,0.981533707995262
S4_DDRE_078,centralized-multi-energy-pq,78,19,23,1.09803746307559,1.0478728277208
S4_DDRE_078,centralized-multi-energy-pq,78,20,23,1.09314015394058,1.04553343033142
S4_DDRE_078,centralized-multi-energy-pq,78,21,23,1.09217596999742,1.04507223195214
S4_DDRE_078,centralized-multi-energy-pq,78,22,23,1.09130382015053,1.04465488088197
S4_DDRE_078,centralized-multi-energy-pq,78,23,23,1.07639645971994,1.03749528178201
S4_DDRE_078,centralized-multi-energy-pq,78,24,23,1.06745944872138,1.03317929166306
S4_DDRE_078,centralized-multi-energy-pq,78,25,23,1.06301195203443,1.03102470971089
S4_DDRE_078,centralized-multi-energy-pq,78,26,23,1.03838366676359,1.01901112200191
S4_DDRE_078,centralized-multi-energy-pq,78,27,23,1.03601105039296,1.01784628033557
S4_DDRE_078,centralized-multi-energy-pq,78,28,23,1.02585266232768,1.01284384893609
S4_DDRE_078,centralized-multi-energy-pq,78,29,23,1.018716940522,1.00931508485804
S4_DDRE_078,centralized-multi-energy-pq,78,30,23,1.01578424199919,1.00786122159709
S4_DDRE_078,centralized-multi-energy-pq,78,31,23,1.01051931308924,1.00524589682785
S4_DDRE_078,centralized-multi-energy-pq,78,32,23,1.00936123675073,1.00466971525508
S4_DDRE_078,centralized-multi-energy-pq,78,33,23,1.00900246822951,1.00449114890551
S4_DDRE_078,centralized-multi-energy-pq,78,1,24,1.1025,1.05
S4_DDRE_078,centralized-multi-energy-pq,78,2,24,1.09919820284069,1.04842653669234
S4_DDRE_078,centralized-multi-energy-pq,78,3,24,1.08369422522828,1.04100635215559
S4_DDRE_078,centralized-multi-energy-pq,78,4,24,1.07572135768221,1.03716987889266
S4_DDRE_078,centralized-multi-energy-pq,78,5,24,1.06788571719556,1.03338556076402
S4_DDRE_078,centralized-multi-energy-pq,78,6,24,1.04752663461673,1.02348748630197
S4_DDRE_078,centralized-multi-energy-pq,78,7,24,1.04077615011058,1.0201843706461
S4_DDRE_078,centralized-multi-energy-pq,78,8,24,1.03496523012982,1.01733240886635
S4_DDRE_078,centralized-multi-energy-pq,78,9,24,1.02547924274658,1.01265949002939
S4_DDRE_078,centralized-multi-energy-pq,78,10,24,1.01652677262303,1.00822952378068
S4_DDRE_078,centralized-multi-energy-pq,78,11,24,1.0154185227382,1.00767977192072
S4_DDRE_078,centralized-multi-energy-pq,78,12,24,1.01346441632853,1.0067096981397
S4_DDRE_078,centralized-multi-energy-pq,78,13,24,1.00268549708629,1.00134184826476
S4_DDRE_078,centralized-multi-energy-pq,78,14,24,0.997468527192291,0.998733461536305
S4_DDRE_078,centralized-multi-energy-pq,78,15,24,0.994042373405369,0.997016736772944
S4_DDRE_078,centralized-multi-energy-pq,78,16,24,0.990691258010188,0.995334746710969
S4_DDRE_078,centralized-multi-energy-pq,78,17,24,0.981935050279859,0.990926359665469
S4_DDRE_078,centralized-multi-energy-pq,78,18,24,0.979298351341362,0.989595044117219
S4_DDRE_078,centralized-multi-energy-pq,78,19,24,1.09855819525375,1.04812126934518
S4_DDRE_078,centralized-multi-energy-pq,78,20,24,1.09422869007642,1.04605386576238
S4_DDRE_078,centralized-multi-energy-pq,78,21,24,1.09337629557595,1.04564635301614
S4_DDRE_078,centralized-multi-energy-pq,78,22,24,1.09260526455189,1.04527760166947
S4_DDRE_078,centralized-multi-energy-pq,78,23,24,1.07944411966012,1.0389630020651
S4_DDRE_078,centralized-multi-energy-pq,78,24,24,1.07154328384981,1.03515374889424
S4_DDRE_078,centralized-multi-energy-pq,78,25,24,1.06761143895264,1.03325284367024
S4_DDRE_078,centralized-multi-energy-pq,78,26,24,1.04591455296186,1.02269963966057
S4_DDRE_078,centralized-multi-energy-pq,78,27,24,1.04381526243626,1.02167277659545
S4_DDRE_078,centralized-multi-energy-pq,78,28,24,1.03482330175903,1.01726265131432
S4_DDRE_078,centralized-multi-energy-pq,78,29,24,1.02850638850496,1.01415303998211
S4_DDRE_078,centralized-multi-energy-pq,78,30,24,1.02591056864087,1.01287243453501
S4_DDRE_078,centralized-multi-energy-pq,78,31,24,1.0212560662712,1.01057214797916
S4_DDRE_078,centralized-multi-energy-pq,78,32,24,1.0202322596531,1.01006547295366
S4_DDRE_078,centralized-multi-energy-pq,78,33,24,1.01991508748217,1.00990845500083
S4_DDRE_079,centralized-multi-energy-pq,79,1,1,1.1025,1.05
S4_DDRE_079,centralized-multi-energy-pq,79,2,1,1.09953849634908,1.04858881185576
S4_DDRE_079,centralized-multi-energy-pq,79,3,1,1.08567746889515,1.04195847752929
S4_DDRE_079,centralized-multi-energy-pq,79,4,1,1.07863436145718,1.03857323355514
S4_DDRE_079,centralized-multi-energy-pq,79,5,1,1.07172864440557,1.03524327788475
S4_DDRE_079,centralized-multi-energy-pq,79,6,1,1.05408611836755,1.02668696220784
S4_DDRE_079,centralized-multi-energy-pq,79,7,1,1.04825071099991,1.02384115516027
S4_DDRE_079,centralized-multi-energy-pq,79,8,1,1.04305353878805,1.02129992597084
S4_DDRE_079,centralized-multi-energy-pq,79,9,1,1.03477770554955,1.01724023983991
S4_DDRE_079,centralized-multi-energy-pq,79,10,1,1.02699165865342,1.01340596932
S4_DDRE_079,centralized-multi-energy-pq,79,11,1,1.0260012728659,1.01291720928509
S4_DDRE_079,centralized-multi-energy-pq,79,12,1,1.02425880933001,1.01205672238764
S4_DDRE_079,centralized-multi-energy-pq,79,13,1,1.01484360236503,1.00739446214729
S4_DDRE_079,centralized-multi-energy-pq,79,14,1,1.01035064294925,1.00516199836108
S4_DDRE_079,centralized-multi-energy-pq,79,15,1,1.0074240073178,1.00370513962906
S4_DDRE_079,centralized-multi-energy-pq,79,16,1,1.00457415871446,1.00228446995574
S4_DDRE_079,centralized-multi-energy-pq,79,17,1,0.997251183069732,0.998624645735189
S4_DDRE_079,centralized-multi-energy-pq,79,18,1,0.995069249014529,0.997531577953565
S4_DDRE_079,centralized-multi-energy-pq,79,19,1,1.09895094840043,1.04830861314807
S4_DDRE_079,centralized-multi-energy-pq,79,20,1,1.09497632069665,1.04641116235285
S4_DDRE_079,centralized-multi-energy-pq,79,21,1,1.09419379459785,1.04603718604926
S4_DDRE_079,centralized-multi-energy-pq,79,22,1,1.09348596283806,1.04569879164034
